Content,Dates,Bold,Italic,Short,AllCaps,Quoted
 THE JEWEL THIEF,07/13,1,0,1,1,0
 QUARTERBACK,07/13,0,0,1,1,0
 DESTRY RIDES AGAIN,07/14,1,0,1,1,0
 ,07/14,0,0,1,0,0
BORIS,07/14,0,0,1,1,0
 THE LORD AND THE RUSSIAN SPY,07/14,0,0,1,1,0
 QUARTERBACK (2),07/14,0,0,1,1,0
 SINCERELY YOURS,07/14,1,0,1,1,0
5 MISSION IMPOSSIBLE: DEAD RECKONING PART ONE,07/15,1,0,1,1,0
 QUARTERBACK,07/15,0,0,1,1,0
 BETRAYAL: THE PERFECT HUSBAND (3),07/15,0,0,1,1,0
 QUARTERBACK,07/17,0,0,1,1,0
 UNKNOWN: CAVE OF BONES,07/17,0,0,1,1,0
 CASQUE D’OR,07/18,1,0,1,1,0
 PEPSI,07/21,0,0,1,1,0
 WHERE’S MY JET? (4),07/21,0,0,1,1,0
 TO END ALL WAR: OPPENHEIMER AND THE ATOMIC BOMB,07/21,0,0,1,1,0
 The Absolutes,07/22,0,1,1,0,0
 UNDERRATED,07/22,1,0,1,1,0
 EXPRESSO BONGO,07/23,1,0,1,1,0
 LA LOI,07/23,1,0,1,1,0
 THE HEIRESS AND THE HEIST (3),07/24,0,0,1,1,0
 Hope,07/25,0,1,1,0,0
 MISSING: THE LUCIE BLACKMAN CASE,07/27,1,0,1,1,0
 THE LADY OF SILENCE,07/27,0,0,1,1,0
 HOW TO WITH JOHN WILSON: FIND A PUBLIC RESTROOM,07/27,0,0,1,1,0
 JIM GAFFIGAN: DARK PALE,07/28,0,0,1,1,0
 DATELINE,07/28,0,0,1,1,0
 KEVIN HART: REALITY CHECK,07/29,0,0,1,1,0
 FIRES ON THE PLAIN,07/29,1,0,1,1,0
 CRAWFORD V. SPENCE,07/29,0,0,1,1,0
 OPPENHEIMER,07/30,1,0,1,1,0
 SUNDAY BLOODY SUNDAY,07/30,1,0,1,1,0
 Ripe,07/31,0,1,1,0,0
 STEWART,08/01,1,0,1,1,0
 How Basketball Can Save the World,08/04,0,1,1,0,0
 MURF THE SURF (4),08/04,0,0,1,1,0
 The Theory of Everything Else,08/05,0,1,1,0,0
 BILLIONAIRE MURDERS (2),08/05,0,0,1,1,0
 TO DUST,08/07,1,0,1,1,0
 Tune In: The Beatles All These Years Vol. 1,08/09,0,1,1,0,0
 HARD KNOCKS,08/09,0,0,1,1,0
 BARBIE,08/09,1,0,1,1,0
 ADALEN 31,08/09,1,0,1,1,0
 HAVE YOU SEEN THIS MAN? (3),08/10,0,0,1,1,0
 MARK CAVENDISH: NEVER ENOUGH,08/11,0,0,1,1,0
 ESCAPE TO ATHENA,08/11,1,0,1,1,0
 THE SCANDAL STORY,08/12,0,0,1,1,0
 HOW TO WITH JOHN WILSON: WORK OUT,08/12,0,0,1,1,0
 ELVIRA MADIGAN,08/12,1,0,1,1,0
 An English Affair,08/13,0,1,1,0,0
 Cleopatra and the Undoing of Hollywood,08/13,0,1,1,0,0
 TELEMARKETERS,08/14,0,0,1,1,0
 An Evening of Long Goodbyes,08/15,0,1,1,0,0
 My Life with Cleopatra,08/15,0,1,1,0,0
 BILLION DOLLAR HEIST,08/15,1,0,1,1,0
,08/15,0,1,1,0,0
 ,08/15,0,0,1,0,0
HARD KNOCKS,08/15,0,0,1,1,0
 UNTOLD: HALL OF SHAME,08/15,0,0,1,1,0
 The Cleopatra Papers,08/17,0,1,1,0,0
 Fassbinder Thousands of Mirrors,08/17,0,1,1,0,0
 CHIMP EMPIRE (2),08/18,0,0,1,1,0
 The Bee Sting,08/19,0,1,1,0,0
 HOW TO WITH JOHN WILSON: WATCH A GAME,08/19,0,0,1,1,0
 DATELINE,08/19,0,0,1,1,0
 CHIMP EMPIRE (2),08/19,0,0,1,1,0
 THE THIRD GENERATION,08/19,1,0,1,1,0
 TELEMARKETERS,08/21,0,0,1,1,0
 HARD KNOCKS,08/22,0,0,1,1,0
 JAWS,08/23,1,0,1,1,0
 Nothing,08/24,0,1,1,0,0
 BS HIGH,08/24,1,0,1,1,0
 Concluding,08/26,0,1,1,0,0
 HOW TO WITH JOHN WILSON: WATCH BIRDS,08/28,0,0,1,1,0
 TELEMARKETERS,08/28,0,0,1,1,0
 HARD KNOCKS,08/29,0,0,1,1,0
 SACRAMENTO,08/30,1,0,1,1,0
 WANTED: THE ESCAPE OF CARLOS GHOSN,08/30,0,0,1,1,0
 Down the River Unto the Sea,08/31,0,1,1,0,0
 HOW TO WITH JOHN WILSON: TRACK YOUR PACKAGE,09/02,0,0,1,1,0
 THE BRIDGE,09/02,1,0,1,1,0
 (’59),09/02,0,0,1,0,0
 WANTED: THE ESCAPE OF CARLOS GHOSN (3),09/03,0,0,1,1,0
 THE DEVIL DOLL,09/04,1,0,1,1,0
 Begin principal photography on PRESENCE,09/08,1,0,1,0,0
 US OPEN WOMEN’S FINAL,09/09,0,0,1,1,0
 OUT OF THE PAST,09/09,1,0,1,1,0
 US OPEN MEN’S FINAL,09/10,0,0,1,1,0
 The Fraud,09/10,0,1,1,0,0
 My Husband,09/11,0,1,1,0,0
 Nothing Special,09/16,0,1,1,0,0
 MICHELLE WOLF: IT’S GREAT TO BE HERE (3),09/16,0,0,1,1,0
 THE OLD DARK HOUSE,09/17,1,0,1,1,0
 The Last Devil to Die,09/20,0,1,1,0,0
 The Bradshaw Variations,09/21,0,1,1,0,0
 HARLEY AND KATYA,09/22,1,0,1,1,0
 HOW DID THEY BUILD THAT?,09/23,0,0,1,1,0
 A PRIVATE FUNCTION,09/23,1,0,1,1,0
 “The Shark is Broken” Joseph Mixon,09/24,0,0,1,0,1
 Ian Shaw,09/24,0,0,1,0,0
 The Temporary,09/25,0,1,1,0,0
 PRESENCE,09/25,1,0,1,1,0
 Cocktails with George and Martha,09/27,0,1,1,0,0
 ICE COLD: MURDER,09/30,0,0,1,1,0
 COFFEE,09/30,0,0,1,1,0
 AND JESSICA WONGSO,09/30,0,0,1,1,0
 NO ONE WILL EVER SAVE YOU,09/30,1,0,1,1,0
 THE FORTY-FIRST,09/30,1,0,1,1,0
 Don’t Look at Me Like That,10/01,0,1,1,0,0
 Tracy Flick Can’t Win,10/01,0,1,1,0,0
 PRESENCE,10/01,1,0,1,1,0
 I BASILISCHI,10/03,1,0,1,1,0
 KING BOY*,10/04,1,0,1,1,0
 PAST LIVES,10/05,1,0,1,1,0
 ENCOUNTERS (2),10/05,0,0,1,1,0
 SAVIOR COMPLEX (2),10/06,0,0,1,1,0
 DATELINE,10/06,0,0,1,1,0
 SAVIOR COMPLEX,10/07,0,0,1,1,0
 FAIR PLAY,10/07,1,0,1,1,0
 Brooklyn Crime Novel,10/08,0,1,1,0,0
 Down the Drain,10/08,0,1,1,0,0
 Surely You Can’t Be Serious,10/10,0,1,1,0,0
 Jim Abrahams,10/10,0,0,1,0,0
 Jerry Zucker,10/10,0,0,1,0,0
 PAINKILLER: THE TYLENOL MURDERS (5),10/10,0,0,1,1,0
 AIRPLANE!,10/11,1,0,1,1,0
 JIMMY SAVILLE: A BRITISH HORROR STORY (2),10/12,0,0,1,1,0
 Every Man a King,10/12,0,1,1,0,0
 ZAZIE DANS LE METRO,10/15,1,0,1,1,0
 Activities of Daily Living,10/16,0,1,1,0,0
 THE RIPPER (4),10/16,0,0,1,1,0
 COLEEN ROONEY: THE REAL WAGATHA CHRISTIE (3),10/18,0,0,1,1,0
 THE STARLING GIRL,10/19,1,0,1,1,0
 The Man in the Corduroy Suit,10/20,0,1,1,0,0
 “Trent and Trudy Lee: A Touch of Vegas” Genna Ryan and Kyle Barisich,10/21,0,0,1,0,1
 Beside the Syrian Sea,10/23,0,1,1,0,0
 SHAMPOO,10/25,1,0,1,1,0
 How to Betray Your Country,10/28,0,1,1,0,0
 VJERN TOMIC: THE SPIDER-MAN OF PARIS,10/31,1,0,1,1,0
 ,10/31,0,0,1,0,0
Determined: A Science of Life Without Free Will,10/31,0,1,1,0,0
 Americanah,11/05,0,1,1,0,0
 ACROSS THE BRIDGE,11/05,1,0,1,1,0
 THE LONG GOOD FRIDAY,11/06,1,0,1,1,0
 THIS ENGLAND (2),11/06,0,0,1,1,0
 COLD WALLET,11/08,1,0,1,1,0
 THE BILLIONAIRE,11/08,0,0,1,1,0
 THE BUTLER,11/08,0,0,1,1,0
 AND THE BOYFRIEND (3),11/08,0,0,1,1,0
 Mapping the Darkness,11/09,0,1,1,0,0
 THE SEARCH FOR THE WORLD’S WORST FRAUD (2),11/10,0,0,1,1,0
 I’m a Fan,11/11,0,1,1,0,0
 THE PIGEON TUNNEL,11/11,1,0,1,1,0
 THE DISAPPEARANCE OF SHERE HITE,11/11,1,0,1,1,0
 Steven Spielberg: All the Films,11/12,0,1,1,0,0
 Arnaud Devillard,11/12,0,0,1,0,0
 Nicolas Schaller,11/12,0,0,1,0,0
 Cult Classic,11/12,0,1,1,0,0
 FABERGE: THE MAKING OF A LEGEND,11/12,0,0,1,1,0
 CRY TERROR!,11/12,1,0,1,1,0
 THE CURSE,11/12,0,0,1,1,0
 THE CAINE MUTINY COURT MARTIAL ,11/14,1,0,1,1,0
(’88),11/14,0,0,1,0,0
 BRAWN: THE IMPOSSIBLE FORMULA ONE STORY (2),11/15,0,0,1,1,0
 23 PACES TO BAKER STREET,11/17,1,0,1,1,0
 BRAWN: THE IMPOSSIBLE FORMULA ONE STORY (2),11/18,0,0,1,1,0
 The Clasp,11/19,0,1,1,0,0
 THE SIXTH COMMANDMENT (2),11/19,0,0,1,1,0
 THE SIXTH COMMANDMENT (2),11/20,0,0,1,1,0
 SALTBURN,11/21,1,0,1,1,0
 FALLEN LEAVES,11/22,1,0,1,1,0
 ANATOMY OF A FALL,11/22,1,0,1,1,0
 FERRARI,11/24,1,0,1,1,0
 SEBASTIAN,11/25,1,0,1,1,0
 (’68),11/25,0,0,1,0,0
 THE CURSE,11/25,0,0,1,1,0
 THE CURSE,11/26,0,0,1,1,0
 PRESENCE,11/27,1,0,1,1,0
 “Magic Mike Live” Channing Tatum,11/28,0,0,1,0,1
 Reid Carolin,11/28,0,0,1,0,0
 The New Leviathans,11/29,0,1,1,0,0
 HANGOVER SQUARE,11/29,1,0,1,1,0
 THE MIRROR CRACK’D,11/29,1,0,1,1,0
 The Thing Around Your Neck,12/02,0,1,1,0,0
 Notes on Grief,12/02,0,1,1,0,0
 STAMPED FROM THE BEGINNING,12/02,1,0,1,1,0
 KILLERS OF THE FLOWER MOON,12/02,1,0,1,1,0
 Crook Manifesto,12/04,0,1,1,0,0
 THE CURSE,12/05,0,0,1,1,0
 THIS ENGLAND,12/05,0,0,1,1,0
 MURDER IN BOSTON,12/06,0,0,1,1,0
 EILEEN,12/06,1,0,1,1,0
 ILS,12/07,1,0,1,1,0
 DREAM SCENARIO,12/09,1,0,1,1,0
 Eyes Wide Shut: Stanley Kubrick and the Making of His Final Film,12/10,0,1,1,0,0
 “The Addams Family” Marshall Brickman,12/10,0,0,1,0,1
 Rick Elice,12/10,0,0,1,0,0
 Andrew Lippa,12/10,0,0,1,0,0
 Wellness,12/10,0,1,1,0,0
 NAPOLEON,12/12,1,0,1,1,0
 (’23),12/12,0,0,1,0,0
 MURDER IN BOSTON,12/13,0,0,1,1,0
 THE ERAS TOUR,12/13,1,0,1,1,0
 THE BOYS IN THE BOAT,12/14,1,0,1,1,0
 CHRISTMAS AT THE CAMPBELLS,12/15,1,0,1,1,0
 THE ZONE OF INTEREST,12/15,1,0,1,1,0
 DATELINE,12/15,0,0,1,1,0
 The Rachel Incident,12/16,0,1,1,0,0
 AMERICAN FICTION,12/16,1,0,1,1,0
 The World is Yours,12/16,0,1,1,0,0
 THE CURSE (2),12/17,0,0,1,1,0
 ZARDOZ,12/17,1,0,1,1,0
  EYES WIDE SHUT,12/18,1,0,1,1,0
 THIS ENGLAND (2),12/19,0,0,1,1,0
 SCARFACE,12/19,1,0,1,1,0
 (’83),12/19,0,0,1,0,0
: MURDER IN BOSTON,12/20,0,0,1,1,0
 The Path to Paradise,12/21,0,1,1,0,0
 THE SEVEN PERCENT SOLUTION,12/21,1,0,1,1,0
 THREE DAYS OF THE CONDOR,12/21,1,0,1,1,0
 MAY DECEMBER,12/22,1,0,1,1,0
 DATELINE,12/22,0,0,1,1,0
 SMILEY’S PEOPLE (3),12/24,0,0,1,1,0
 Half of a Yellow Sun,12/25,0,1,1,0,0
 BRIDGE OF SPIES,12/26,1,0,1,1,0
 SMILEY’S PEOPLE,12/26,0,0,1,1,0
 SMILEY’S PEOPLE (2),12/27,0,0,1,1,0
 THE WRONG ARM OF THE LAW,12/27,1,0,1,1,0
 Purple Hibiscus,12/28,0,1,1,0,0
 NEITHER CONFIRM NOR DENY,12/28,1,0,1,1,0
 Candace Pert,12/29,0,1,1,0,0
 HOUSE HUNTERS INTERNATIONAL,12/29,0,0,1,1,0
 THE TEACHER’S LOUNGE,12/29,1,0,1,1,0
 CATCH-22,12/29,1,0,1,1,0
 GRAN TURISMO,12/29,1,0,1,1,0
 Genealogy of a Murder,12/30,0,1,1,0,0
 ORIGIN,12/31,1,0,1,1,0
 DAVE CHAPPELLE: THE DREAMER,12/31,0,0,1,1,0
 MICHAEL CLAYTON,12/31,1,0,1,1,0
